Star,IM,Max,SNR,X,Y,Sky,Air,B-V,V-mag,estimate,active
132_9,-7.475,2574,57,993.146,1154.275,398,1.148,0.427,13.259,20.734,TRUE
133,-7.296,2403,56,1161.188,1214.295,397,1.148,0.364,13.316,20.612,TRUE
133_1,-7.249,2281,71,1118.714,1169.845,396,1.148,0.444,13.372,20.621,TRUE
133_2,-7.386,2176,125,1091.217,1418.582,386,1.147,0.516,13.329,20.715,TRUE
133_3,-7.402,2029,51,1013.684,1243.218,387,1.148,0.404,13.394,20.796,TRUE
133_4,-9.102,10617,286,993.39,1092.952,404,1.148,0.754,13.395,22.497,TRUE
133_5,-7.257,2565,111,863.637,1127.347,391,1.148,0.358,13.363,20.62,TRUE
134,-7.085,1837,110,1274.138,1067.071,389,1.149,1.297,13.486,20.571,TRUE
134_1,-7.076,2026,91,1245.171,1157.842,396,1.148,1.417,13.409,20.485,TRUE
134_2,-7.082,1955,63,1162.07,1191.71,401,1.148,1.49,13.427,20.509,TRUE
134_3,-7.576,2326,47,1117.724,1258.931,406,1.148,0.416,13.4,20.976,TRUE
134_4,-7.123,2258,121,1112.867,1344.137,388,1.147,0.416,13.472,20.595,TRUE
134_5,-7.888,2326,70,1114.647,1257.879,403,1.148,0.381,13.407,21.295,TRUE
134_6,-7.158,2343,110,1075.831,1300.616,395,1.147,0.391,13.455,20.613,TRUE
134_7,-7.214,2326,126,1036.72,1318.173,385,1.147,0.395,13.429,20.643,TRUE
134_8,-7.291,2069,115,1031.203,1372.914,387,1.147,0.499,13.412,20.703,TRUE
135,-6.953,2081,77,1187.688,1073.249,393,1.148,1.718,13.564,20.517,TRUE
135_1,-7.062,2012,98,1170.95,1052.802,394,1.148,0.331,13.512,20.574,TRUE
135_2,-7.214,1931,38,1066.286,1245.759,402,1.148,0.456,13.584,20.798,TRUE
135_3,-7.201,2022,42,1029.3,1106.261,416,1.148,0.416,13.514,20.715,TRUE
135_4,-7.514,2022,66,1024.138,1105.254,403,1.148,0.398,13.573,21.087,TRUE
135_5,-7.268,1984,52,1007.803,1216.818,398,1.148,0.393,13.535,20.803,TRUE
135_6,-7.034,2097,92,987.46,1263.495,393,1.147,0.429,13.528,20.562,TRUE
135_7,-7.132,1936,66,980.332,1237.033,397,1.147,0.429,13.511,20.643,TRUE
135_8,-6.973,1791,86,882.366,1023.082,390,1.148,1.436,13.565,20.538,TRUE
136,-6.896,1826,95,1313.696,1094.247,387,1.149,2.028,13.679,20.575,TRUE
136_1,-7.034,1986,105,1254.911,1268.262,384,1.148,0.439,13.611,20.645,TRUE
136_10,-6.899,1777,64,951.019,1275.089,397,1.147,0.71,13.672,20.571,TRUE
136_11,-6.975,1779,85,875.864,1165.915,389,1.148,1.58,13.662,20.637,TRUE
136_12,-6.916,1750,92,874.954,1045.441,389,1.148,0.433,13.688,20.604,TRUE
136_13,-6.912,1799,85,844.24,1004.897,389,1.148,0.429,13.662,20.574,TRUE
136_2,-7.032,1876,31,1144.893,1109.428,391,1.148,0.392,13.682,20.714,TRUE
136_3,-6.962,1770,47,1142.626,1166.983,397,1.148,0.41,13.637,20.599,TRUE
136_4,-6.944,1774,30,1122.607,1106.033,426,1.148,0.626,13.64,20.584,TRUE
136_5,-7.082,2034,23,1118.17,1122.198,409,1.148,0.404,13.607,20.689,TRUE
136_6,-7.422,1793,30,1067.524,1153.661,412,1.148,0.52,13.601,21.023,TRUE
136_7,-7.811,4403,42,1064.573,1151.125,410,1.148,0.41,13.69,21.501,TRUE
136_8,-7.06,1771,95,1010.958,1296.147,392,1.147,0.407,13.659,20.719,TRUE
136_9,-7.181,1737,25,1004.144,1190.522,403,1.148,0.451,13.647,20.828,TRUE
137,-6.893,1667,104,1303.939,1160.081,384,1.148,1.552,13.715,20.608,TRUE
137_1,-6.854,1731,75,1212.781,1048.678,389,1.149,0.42,13.729,20.583,TRUE
137_10,-6.894,1625,99,917.254,1285.84,387,1.147,0.63,13.75,20.644,TRUE
137_11,-6.81,1610,87,910.894,1044.627,392,1.148,0.396,13.748,20.558,TRUE
137_12,-6.86,1710,85,901.283,961.892,389,1.148,0.425,13.757,20.617,TRUE
137_13,-6.901,1724,103,815.812,970.179,382,1.148,0.61,13.714,20.615,TRUE
137_2,-6.869,1518,69,1197.813,1055.342,395,1.148,0.468,13.731,20.6,TRUE
137_3,-6.784,1520,102,1148.184,1438.895,379,1.147,0.898,13.789,20.573,TRUE
137_4,-6.837,1562,82,1148.307,1380.892,385,1.147,0.483,13.787,20.624,TRUE
137_5,-7.265,1653,29,1128.19,1200.805,415,1.148,0.494,13.791,21.056,TRUE
137_6,-6.846,1783,49,1077.494,1260.846,396,1.148,0.454,13.774,20.62,TRUE
137_7,-7.296,1844,23,1068.73,1240.824,380,1.148,0.41,13.701,20.997,TRUE
137_8,-6.913,1573,40,980.091,1179.085,398,1.148,0.573,13.721,20.634,TRUE
137_9,-6.852,1865,87,934.683,1002.198,392,1.148,0.442,13.799,20.651,TRUE
138,-6.787,1428,68,1274.49,1129.249,386,1.148,0.532,13.824,20.611,TRUE
138_1,-6.781,1461,76,1212.276,1298.38,386,1.148,0.432,13.853,20.634,TRUE
138_10,-6.729,1590,76,816.889,1025.487,386,1.148,0.421,13.848,20.577,TRUE
138_2,-6.722,1624,52,1178.748,1101.966,398,1.148,0.397,13.862,20.584,TRUE
138_3,-6.721,1544,85,1169.759,1355.753,385,1.147,0.493,13.893,20.614,TRUE
138_4,-6.754,1503,59,1144.396,1012.333,390,1.149,0.414,13.884,20.638,TRUE
138_5,-6.805,1560,86,1141.277,985.173,387,1.149,0.382,13.846,20.651,TRUE
138_6,-6.83,1605,58,1127.951,1068.665,393,1.148,0.483,13.847,20.677,TRUE
138_7,-6.728,1516,41,985.391,1303.46,402,1.147,0.428,13.859,20.587,TRUE
138_8,-7.062,1773,57,980.321,1295.961,401,1.147,1.313,13.873,20.935,TRUE
138_9,-6.739,1480,87,861.39,1219.032,387,1.147,0.578,13.884,20.623,TRUE
139,-6.568,1374,77,1316.306,1001.783,392,1.149,1.429,13.977,20.545,TRUE
139_1,-6.584,1449,87,1281.281,1325.777,387,1.148,1.858,13.964,20.548,TRUE
139_2,-6.709,1482,65,1211.731,1143.425,395,1.148,0.419,13.991,20.7,TRUE
139_3,-6.593,1439,63,1177.62,1306.28,388,1.148,0.445,13.985,20.578,TRUE
139_4,-6.837,1628,41,1137.818,1247.196,387,1.148,0.464,13.913,20.75,TRUE
139_5,-6.934,1550,95,1026.643,1376.454,387,1.147,0.484,13.907,20.841,TRUE
139_6,-6.665,1455,72,899.635,1188.77,391,1.148,0.493,13.95,20.615,TRUE
139_7,-6.698,1429,73,873.398,1037.56,392,1.148,0.427,13.909,20.607,TRUE
140,-6.594,1464,71,1314.663,1341.07,381,1.148,0.704,14.013,20.607,TRUE
140_1,-6.553,1433,69,1268.293,1142.616,388,1.148,0.463,14.063,20.616,TRUE
140_10,-6.661,1263,62,913.452,1414.126,387,1.147,0.643,14.018,20.679,TRUE
140_11,-6.491,1400,64,906.582,1008.308,393,1.148,1.59,14.063,20.554,TRUE
140_12,-6.513,1438,63,904.569,1215.924,389,1.147,0.443,14.077,20.59,TRUE
140_13,-6.579,1386,70,879.576,1239.968,384,1.147,0.564,14.012,20.591,TRUE
140_14,-6.538,1363,75,876.441,1311.102,387,1.147,0.466,14.034,20.572,TRUE
140_15,-6.457,1304,76,806.417,1413.837,378,1.147,1.471,14.079,20.536,TRUE
140_2,-6.644,1469,84,1209.953,1339.767,384,1.147,0.431,14.011,20.655,TRUE
140_3,-6.593,1292,38,1156.027,1233.069,395,1.148,0.497,14.057,20.65,TRUE
140_4,-6.736,1476,32,1133.721,1265.577,389,1.148,0.45,14.029,20.765,TRUE
140_5,-6.647,1458,48,1004.705,1317.338,397,1.147,0.936,14.014,20.661,TRUE
140_6,-6.485,1483,63,1003.683,1047.419,394,1.148,0.52,14.069,20.554,TRUE
140_7,-6.774,1426,49,1002.57,1081.356,391,1.148,0.438,14.058,20.832,TRUE
140_8,-6.516,1367,70,966.406,1388.249,387,1.147,0.401,14.082,20.598,TRUE
140_9,-8.096,11137,197,947.951,1149.989,397,1.148,0.651,14.043,22.139,TRUE
141,-6.368,1150,69,1307.104,1272.806,382,1.148,0.479,14.191,20.559,TRUE
141_1,-6.44,1250,58,1259.388,1078.081,387,1.149,0.414,14.18,20.62,TRUE
141_10,-6.465,1237,50,952.13,1172.669,394,1.148,0.453,14.177,20.642,TRUE
141_11,-6.442,1250,71,847.492,1233.647,384,1.147,0.755,14.176,20.618,TRUE
141_2,-6.633,1276,54,1228.447,1163.219,393,1.148,0.455,14.103,20.736,TRUE
141_3,-6.782,1409,60,1179.676,1183.376,405,1.148,0.404,14.102,20.884,TRUE
141_4,-6.487,1409,63,1163.856,1361.578,388,1.147,1.597,14.132,20.619,TRUE
141_5,-6.451,1300,54,1153.439,1294.866,388,1.148,0.428,14.176,20.627,TRUE
141_6,-6.491,1178,65,1152.462,1316.758,389,1.147,0.752,14.116,20.607,TRUE
141_7,-6.852,1373,32,1065.36,1037.148,390,1.148,0.46,14.167,21.019,TRUE
141_8,-6.669,1326,71,1027.723,1283.587,391,1.147,0.5,14.132,20.801,TRUE
141_9,-6.61,1162,57,985.591,1138.921,394,1.148,0.889,14.101,20.711,TRUE
142,-6.299,1286,55,1297.681,967.481,393,1.149,1.617,14.292,20.591,TRUE
142_1,-6.478,1200,75,1260.452,968.975,387,1.149,0.936,14.211,20.689,TRUE
142_10,-6.478,1308,49,1076.153,1250.274,405,1.148,0.561,14.22,20.698,TRUE
142_11,-6.277,1216,45,1061.762,1270.214,399,1.147,0.649,14.251,20.528,TRUE
142_12,-6.308,1173,57,895.481,1216.606,387,1.147,0.488,14.281,20.589,TRUE
142_13,-6.335,1306,57,886.862,1426.661,383,1.147,0.516,14.262,20.597,TRUE
142_14,-6.314,1235,53,859.658,1026.19,388,1.148,0.963,14.253,20.567,TRUE
142_15,-6.31,1260,62,852.781,969.248,383,1.148,1.99,14.211,20.521,TRUE
142_16,-6.285,1228,59,835.635,1084.002,387,1.148,1.046,14.276,20.561,TRUE
142_2,-6.33,1393,42,1148.583,1254.389,398,1.148,0.52,14.228,20.558,TRUE
142_3,-6.426,1241,69,1146.504,1413.17,381,1.147,0.506,14.232,20.658,TRUE
142_4,-6.465,1316,28,1147.854,1215.225,387,1.148,0.516,14.247,20.712,TRUE
142_5,-6.46,1352,49,1139.912,992.155,388,1.149,0.452,14.237,20.697,TRUE
142_6,-6.4,1302,60,1132.507,1357.052,391,1.147,0.478,14.208,20.608,TRUE
142_7,-6.573,1315,28,1126.891,1181.598,389,1.148,0.524,14.233,20.806,TRUE
142_8,-6.364,1383,51,1123.984,1356.278,389,1.147,0.455,14.227,20.591,TRUE
142_9,-6.308,1227,25,1099.371,1277.525,396,1.148,0.525,14.295,20.603,TRUE
143,-6.364,1056,61,1321.61,1395.833,381,1.147,1.309,14.357,20.721,TRUE
143_1,-6.325,1143,57,1261.218,1308.796,385,1.148,0.486,14.354,20.679,TRUE
143_10,-6.383,1207,36,1115.902,1292.123,383,1.147,0.52,14.33,20.713,TRUE
143_11,-6.351,1120,46,1008.18,1328.21,390,1.147,0.522,14.333,20.684,TRUE
143_12,-6.105,1061,49,1007.581,1033.885,396,1.148,0.783,14.394,20.499,TRUE
143_13,-6.388,1064,26,966.616,1211.043,389,1.148,0.559,14.313,20.701,TRUE
143_14,-6.456,1157,56,964.145,1254.642,398,1.147,0.459,14.332,20.788,TRUE
143_15,-6.274,1195,57,952.523,1370.193,388,1.147,0.592,14.313,20.587,TRUE
143_16,-6.27,1233,67,871.653,1284.692,384,1.147,0.571,14.36,20.63,TRUE
