Star,IM,Max,SNR,X,Y,Sky,Air,B-V,I-mag,estimate,active
140_9,-8.797,7652,317,945.894,1155.772,230,1.152,0.651,13.211,22.008,TRUE
141,-5.687,694,43,1305.985,1273.116,215,1.152,0.479,13.629,19.316,TRUE
141_1,-5.721,709,33,1258.356,1078.823,221,1.153,0.414,13.68,19.401,TRUE
141_10,-5.836,663,31,951.347,1173.394,224,1.152,0.453,13.621,19.457,TRUE
141_11,-6.217,883,59,846.132,1234.253,213,1.152,0.755,13.155,19.372,TRUE
141_2,-6.012,668,33,1227.41,1163.729,225,1.153,0.455,13.557,19.569,TRUE
141_3,-6.432,1956,40,1178.572,1183.991,239,1.153,0.404,13.556,19.988,TRUE
141_4,-6.984,1918,93,1162.744,1361.961,223,1.152,1.597,12.307,19.291,TRUE
141_5,-5.704,697,25,1152.396,1295.364,225,1.152,0.428,13.652,19.356,TRUE
141_6,-6.2,816,48,1151.503,1317.163,220,1.152,0.752,13.215,19.415,TRUE
141_7,-6.163,714,20,1063.776,1037.881,221,1.153,0.46,13.62,19.783,TRUE
141_8,-6.046,761,41,1026.662,1283.987,222,1.152,0.5,13.53,19.576,TRUE
141_9,-6.433,959,44,984.352,1139.495,222,1.152,0.889,13.024,19.457,TRUE
142,-6.757,1503,71,1296.714,968.106,221,1.154,1.617,12.608,19.365,TRUE
142_1,-6.352,961,63,1259.122,969.791,213,1.153,0.936,13.119,19.471,TRUE
142_10,-5.621,657,31,894.429,1217.095,215,1.152,0.488,13.686,19.307,TRUE
142_11,-5.76,745,34,885.458,1427.367,212,1.151,0.516,13.658,19.418,TRUE
142_12,-6.157,908,41,858.426,1026.728,219,1.153,0.963,13.126,19.283,TRUE
142_13,-7.162,2120,116,851.67,969.793,215,1.153,1.99,12.108,19.27,TRUE
142_14,-6.153,926,51,834.471,1084.583,214,1.152,1.046,13.159,19.312,TRUE
142_2,-5.781,722,23,1147.555,1255.041,225,1.152,0.52,13.558,19.339,TRUE
142_3,-5.803,677,43,1145.354,1413.675,215,1.152,0.506,13.614,19.417,TRUE
142_4,-5.747,656,26,1139.072,992.746,220,1.153,0.452,13.668,19.415,TRUE
142_5,-5.729,696,36,1131.348,1357.608,221,1.152,0.478,13.652,19.381,TRUE
142_6,-5.945,761,20,1125.349,1182.304,229,1.152,0.524,13.585,19.53,TRUE
142_7,-5.617,714,28,1122.66,1356.754,219,1.152,0.455,13.708,19.325,TRUE
142_8,-6.111,760,34,1075.339,1250.797,227,1.152,0.561,13.43,19.541,TRUE
142_9,-5.88,757,30,1060.639,1270.75,227,1.152,0.649,13.424,19.304,TRUE
143,-6.618,1046,73,1320.083,1396.541,213,1.152,1.309,12.864,19.482,TRUE
143_1,-5.779,627,33,1260.452,1309.392,213,1.152,0.486,13.78,19.559,TRUE
143_10,-5.847,676,26,1114.798,1292.573,218,1.152,0.52,13.712,19.559,TRUE
143_11,-5.822,690,26,1007.194,1328.93,215,1.152,0.522,13.713,19.535,TRUE
143_12,-6.057,786,42,1006.365,1034.614,218,1.153,0.783,13.246,19.303,TRUE
143_13,-5.979,671,36,962.782,1255.825,220,1.152,0.459,13.774,19.753,TRUE
143_14,-5.718,678,35,951.388,1370.718,221,1.151,0.592,13.631,19.349,TRUE
143_15,-5.829,688,49,870.825,1285.695,211,1.152,0.571,13.643,19.472,TRUE
143_16,-5.688,671,34,864.647,1428.951,214,1.151,0.494,13.735,19.423,TRUE
143_17,-5.64,680,35,848.514,1192.152,213,1.152,0.495,13.725,19.365,TRUE
143_18,-6.27,905,63,833.637,1435.209,213,1.151,0.917,13.23,19.5,TRUE
143_2,-5.642,645,33,1236.671,1257.343,222,1.152,0.484,13.789,19.431,TRUE
143_3,-5.571,652,24,1232.517,1208.371,223,1.153,0.517,13.793,19.364,TRUE
143_4,-7.173,2150,108,1221.483,1439.096,211,1.152,1.972,12.144,19.317,TRUE
143_5,-5.872,710,22,1212.652,1162.17,222,1.153,0.497,13.651,19.523,TRUE
143_6,-6.066,753,33,1185.444,1031.955,215,1.153,0.732,13.479,19.545,TRUE
143_7,-6.635,1302,33,1131.679,1194.102,223,1.152,1.449,12.823,19.458,TRUE
