Primary target: NGC 3532
Exposure time: 20 s
Filter: R
Observation date/time: 2021-08-06 23:43:54
JD: 2459433.48882
Decimal date: 2021-08-06.98882
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350583551883-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
95_4	-9.370	7851	386	735.522	1603.977	158	1.706	0.022	9.507	18.877	True		
95_5	-9.388	7834	387	305.828	544.868	159	1.702	0.039	9.522	18.910	True		
96	-9.320	7262	373	751.586	1771.796	161	1.706	0.144	9.571	18.891	True		
96_1	-9.181	6849	352	628.874	1346.249	160	1.705	0.097	9.608	18.789	True		
96_2	-9.317	7914	373	531.647	1477.214	157	1.704	0.072	9.583	18.900	True		
96_3	-9.287	7003	367	496.887	1165.730	160	1.704	0.137	9.560	18.847	True		
97	-9.183	5621	349	1841.092	107.729	157	1.725	0.024	9.692	18.875	True		
97_1	-9.125	7269	342	1468.545	1240.261	163	1.718	0.091	9.705	18.830	True		
97_2	-9.170	6303	350	883.578	77.533	159	1.711	0.042	9.721	18.891	True		
97_3	-9.095	5853	331	837.711	1286.605	163	1.708	0.100	9.689	18.784	True		
97_4	-9.179	7028	351	602.661	996.215	161	1.706	0.175	9.688	18.867	True		
97_5	-9.167	6626	349	588.627	1520.989	158	1.704	0.074	9.730	18.897	True		
97_6	-9.200	6853	355	284.461	1517.365	159	1.700	0.057	9.706	18.906	True		
98	-9.046	5818	328	1644.559	1568.759	162	1.720	0.127	9.819	18.865	True		
98_1	-9.084	6475	336	1507.708	1614.398	161	1.718	0.124	9.780	18.864	True		
98_2	-9.016	5629	324	1327.235	1523.666	163	1.715	0.097	9.821	18.837	True		
98_3	-9.041	6528	329	1083.673	862.906	162	1.713	0.086	9.786	18.827	True		
98_4	-9.155	6918	346	268.578	1009.939	160	1.701	0.093	9.759	18.914	True		
99_1	-9.695	11800	449	783.713	471.706	161	1.709	1.280	9.270	18.965	True		
99_2	-9.327	7615	375	494.395	1094.191	159	1.704	0.598	9.595	18.922	True		
99_3	-8.971	6041	316	361.777	1404.764	157	1.701	0.060	9.937	18.908	True		
