Primary target: LMC V0432
Exposure time: 20 s
Filter: R
Observation date/time: 2021-08-09 23:28:46
JD: 2459436.47831
Decimal date: 2021-08-09.97831
R.A.: 11:06:32.87
Dec.: -58:43:39.33
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637642182162338643-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
94_5	-9.709	15726	455	408.926	516.527	138	1.686	-0.007	9.412	19.121	True		
95	-9.532	12727	418	1678.300	1644.401	138	1.702	0.063	9.558	19.090	True		
95_1	-9.443	12598	395	1454.418	1510.831	139	1.699	0.149	9.502	18.945	True		
95_2	-9.530	11818	417	1307.901	1116.679	140	1.698	0.087	9.498	19.028	True		
95_3	-9.512	11412	415	1169.047	720.917	137	1.697	0.035	9.526	19.038	True		
95_4	-9.566	12276	426	732.795	1608.635	137	1.689	0.022	9.507	19.073	True		
95_5	-9.592	13541	430	303.226	549.448	137	1.685	0.039	9.522	19.114	True		
96	-9.546	13541	417	749.187	1776.293	137	1.689	0.144	9.571	19.117	True		
96_1	-9.372	11329	387	626.570	1350.900	138	1.688	0.097	9.608	18.980	True		
96_2	-9.506	11282	412	528.881	1481.976	136	1.686	0.072	9.583	19.089	True		
96_3	-9.513	11602	413	494.557	1170.331	139	1.686	0.137	9.560	19.073	True		
97	-9.396	7426	390	1838.704	111.998	135	1.707	0.024	9.692	19.088	True		
97_1	-9.321	10205	376	1465.779	1244.977	142	1.700	0.091	9.705	19.026	True		
97_2	-9.397	10661	390	881.133	82.021	138	1.693	0.042	9.721	19.118	True		
97_3	-9.282	9540	370	834.959	1291.403	142	1.691	0.100	9.689	18.971	True		
97_4	-9.392	11615	391	599.994	1000.843	139	1.688	0.175	9.688	19.080	True		
97_5	-9.372	12172	387	586.353	1525.889	135	1.687	0.074	9.730	19.102	True		
97_6	-9.411	11704	394	281.799	1522.179	136	1.683	0.057	9.706	19.117	True		
98	-9.278	9744	370	1641.946	1573.318	137	1.702	0.127	9.819	19.097	True		
98_1	-9.297	9814	372	1504.969	1619.102	139	1.700	0.124	9.780	19.077	True		
98_2	-9.256	10091	367	1324.738	1528.140	137	1.698	0.097	9.821	19.077	True		
98_3	-9.214	8156	360	1081.047	867.551	138	1.695	0.086	9.786	19.000	True		
98_4	-9.388	11533	389	265.993	1014.817	136	1.683	0.093	9.759	19.147	True		
99_1	-9.877	17859	491	781.041	476.620	138	1.691	1.280	9.270	19.147	True		
99_2	-9.516	12664	415	491.789	1098.964	137	1.686	0.598	9.595	19.111	True		
99_3	-9.153	9157	348	359.027	1409.778	136	1.684	0.060	9.937	19.090	True		
