Primary target: NGC 3532
Exposure time: 20 s
Filter: B
Observation date/time: 2021-08-06 23:45:55
JD: 2459433.49022
Decimal date: 2021-08-06.99022
R.A.: 11:05:25.85
Dec.: -58:46:52.35
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350416527601-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
85	-11.130	36646	874	917.276	977.482	181	1.721	0.022	8.585	19.715	True		
86	-11.155	38569	888	1224.956	1388.280	182	1.725	-0.011	8.555	19.710	True		
86_1	-11.054	38236	848	660.525	1270.029	181	1.717	0.008	8.700	19.754	True		
88	-10.886	29420	785	1067.719	1535.645	181	1.722	0.065	8.880	19.766	True		
88_1	-10.876	27966	774	879.899	1462.198	180	1.720	0.046	8.877	19.753	True		
88_2	-10.908	31308	793	207.220	588.175	175	1.711	0.035	8.915	19.823	True		
89	-10.768	30498	743	1127.270	1238.143	181	1.724	0.046	8.957	19.725	True		
89_1	-10.769	28434	737	803.754	662.344	178	1.720	-0.016	8.964	19.733	True		
89_2	-10.647	25466	703	795.260	1328.514	181	1.719	0.131	9.112	19.759	True		
89_3	-10.839	28834	765	542.794	276.527	177	1.717	0.004	8.969	19.808	True		
89_4	-10.857	28288	772	141.174	1835.299	189	1.708	-0.008	8.973	19.830	True		
89_5	-10.930	31673	798	81.732	1509.221	179	1.708	-0.077	8.878	19.808	True		
90	-10.737	28963	731	1863.675	762.140	183	1.736	0.033	9.051	19.788	True		
90_1	-10.583	20372	680	1787.109	1404.354	182	1.733	0.104	9.198	19.781	True		
90_2	-10.631	26056	692	1032.930	1521.721	179	1.722	0.115	9.144	19.775	True		
90_3	-10.758	27797	739	584.885	484.222	175	1.717	0.025	9.043	19.801	True		
90_4	-10.639	26573	698	341.839	604.416	175	1.713	0.119	9.212	19.851	True		
91	-10.556	23602	669	1455.407	1113.156	177	1.729	0.036	9.163	19.719	True		
91_1	-10.523	22026	662	1030.614	705.235	176	1.723	0.009	9.208	19.731	True		
91_2	-10.622	22776	691	231.865	1573.193	178	1.710	0.055	9.210	19.832	True		
92_1	-10.236	17117	579	1880.359	1400.948	181	1.735	0.399	9.609	19.845	True		
92_2	-10.352	17880	612	1278.551	1376.471	180	1.726	0.071	9.354	19.706	True		
92_3	-10.489	20772	653	1245.587	1554.432	181	1.725	0.040	9.267	19.756	True		
92_4	-10.360	19449	613	819.110	1137.148	181	1.719	0.068	9.354	19.714	True		
92_5	-10.549	22297	671	537.855	662.940	174	1.716	0.030	9.246	19.795	True		
93	-10.352	19051	612	1313.968	1163.372	180	1.727	0.053	9.355	19.707	True		
94	-10.280	16312	591	1870.858	1311.490	179	1.735	0.024	9.489	19.769	True		
94_1	-10.250	16610	584	1711.534	1611.406	180	1.732	0.031	9.522	19.772	True		
94_2	-10.324	18038	604	1264.488	354.307	174	1.727	0.008	9.452	19.776	True		
94_3	-9.472	8433	403	1250.980	1617.456	175	1.725	1.063	10.535	20.007	True		
94_4	-10.083	15285	539	1026.488	1160.607	180	1.722	0.110	9.603	19.686	True		
94_5	-10.366	19646	615	410.365	512.197	177	1.714	-0.007	9.429	19.795	True		
95	-10.153	16215	555	1679.617	1640.099	177	1.731	0.063	9.621	19.774	True		
95_1	-9.936	12270	494	1455.698	1506.679	178	1.728	0.149	9.739	19.675	True		
95_2	-10.101	14725	544	1308.912	1112.322	178	1.727	0.087	9.622	19.723	True		
95_3	-10.150	16377	557	1170.247	716.860	174	1.725	0.035	9.571	19.721	True		
95_4	-10.236	17712	580	733.989	1604.251	177	1.717	0.022	9.547	19.783	True		
95_5	-10.191	16533	567	304.625	545.226	173	1.713	0.039	9.633	19.824	True		
96	-9.977	14091	510	750.584	1772.045	178	1.717	0.144	9.812	19.789	True		
96_1	-10.004	14964	520	627.829	1346.648	177	1.716	0.097	9.792	19.796	True		
96_2	-10.096	15317	543	530.386	1477.536	179	1.714	0.072	9.705	19.801	True		
96_3	-9.952	12383	506	495.691	1166.116	176	1.714	0.137	9.819	19.771	True		
97	-10.033	12817	526	1839.597	108.176	179	1.736	0.024	9.770	19.803	True		
97_1	-9.907	12742	497	1466.778	1240.468	180	1.729	0.091	9.827	19.734	True		
97_2	-9.972	13208	510	882.428	77.884	178	1.722	0.042	9.824	19.796	True		
97_3	-9.888	13384	489	836.425	1287.190	177	1.719	0.100	9.854	19.742	True		
97_4	-9.829	11938	474	601.463	996.537	172	1.716	0.175	9.973	19.802	True		
97_5	-9.942	13005	505	587.626	1521.678	177	1.715	0.074	9.859	19.801	True		
97_6	-10.001	14253	517	282.917	1517.692	177	1.711	0.057	9.825	19.826	True		
98	-9.789	10943	469	1643.130	1569.222	178	1.731	0.127	9.990	19.779	True		
98_1	-9.822	11993	478	1505.946	1614.535	177	1.729	0.124	9.945	19.767	True		
98_2	-9.828	12307	478	1325.965	1524.017	176	1.726	0.097	9.944	19.772	True		
98_3	-9.799	10490	473	1082.329	863.353	174	1.724	0.086	9.910	19.709	True		
98_4	-9.855	11691	485	267.575	1010.637	170	1.711	0.093	9.955	19.810	True		
99_1	-8.854	5006	299	782.482	472.282	169	1.720	1.280	11.242	20.096	True		
99_2	-9.349	7607	382	493.192	1094.486	172	1.715	0.598	10.555	19.904	True		
99_3	-9.756	10473	461	360.589	1405.397	174	1.712	0.060	10.046	19.802	True		
