Primary target: NGC 3532
Exposure time: 20 s
Filter: V
Observation date/time: 2021-08-06 23:45:09
JD: 2459433.48969
Decimal date: 2021-08-06.98969
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350793387988-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
91_2	-10.384	20552	619	233.774	1573.019	166	1.706	0.055	9.155	19.539	True		
92_1	-10.191	17570	567	1882.427	1400.756	170	1.730	0.399	9.210	19.401	True		
92_2	-10.103	15708	543	1280.356	1376.526	168	1.721	0.071	9.283	19.386	True		
92_3	-10.237	20001	576	1247.868	1554.223	166	1.721	0.040	9.227	19.464	True		
92_4	-10.126	15746	547	821.129	1136.903	162	1.715	0.068	9.286	19.412	True		
92_5	-10.295	19093	596	539.710	662.701	167	1.712	0.030	9.216	19.511	True		
93	-10.121	18792	548	1316.089	1163.509	166	1.722	0.053	9.302	19.423	True		
94	-10.017	15914	521	1872.709	1311.048	171	1.730	0.024	9.465	19.482	True		
94_1	-9.986	15027	514	1713.831	1611.215	169	1.728	0.031	9.491	19.477	True		
94_2	-10.042	16804	528	1266.805	353.753	164	1.723	0.008	9.444	19.486	True		
94_3	-9.819	12231	473	1252.780	1617.041	165	1.721	1.063	9.472	19.291	True		
94_4	-9.834	12628	478	1028.248	1160.602	166	1.718	0.110	9.493	19.327	True		
94_5	-10.096	14993	540	412.082	511.897	164	1.710	-0.007	9.436	19.532	True		
95	-9.925	13930	499	1681.631	1639.950	169	1.727	0.063	9.558	19.483	True		
95_1	-9.755	11842	454	1457.745	1506.386	166	1.724	0.149	9.590	19.345	True		
95_2	-9.888	15014	491	1311.126	1112.135	164	1.722	0.087	9.535	19.423	True		
95_3	-9.883	14274	491	1172.281	716.594	161	1.721	0.035	9.536	19.419	True		
95_4	-9.952	12939	506	735.993	1604.075	160	1.713	0.022	9.525	19.477	True		
95_5	-9.941	13997	503	306.578	544.899	165	1.709	0.039	9.594	19.535	True		
96	-9.785	12544	466	752.559	1771.872	165	1.713	0.144	9.668	19.453	True		
96_1	-9.757	12649	463	629.826	1346.408	162	1.712	0.097	9.695	19.452	True		
96_2	-9.867	14431	484	532.194	1477.523	163	1.710	0.072	9.633	19.500	True		
96_3	-9.728	10567	455	497.587	1165.774	161	1.710	0.137	9.682	19.410	True		
97	-9.751	10271	459	1841.608	107.894	171	1.732	0.024	9.746	19.497	True		
97_1	-9.690	11948	447	1468.925	1240.606	167	1.725	0.091	9.736	19.426	True		
97_2	-9.735	11614	455	884.195	77.519	165	1.718	0.042	9.782	19.517	True		
97_3	-9.647	10402	436	838.134	1286.904	166	1.715	0.100	9.754	19.401	True		
97_4	-9.648	11308	439	603.269	996.541	160	1.712	0.175	9.798	19.446	True		
97_5	-9.710	11586	452	589.640	1521.320	162	1.711	0.074	9.785	19.495	True		
97_6	-9.751	12116	461	284.841	1517.699	163	1.707	0.057	9.768	19.519	True		
98	-9.592	9178	426	1645.173	1569.030	168	1.727	0.127	9.863	19.455	True		
98_1	-9.632	11031	436	1508.152	1614.725	166	1.724	0.124	9.821	19.453	True		
98_2	-9.591	9892	427	1327.799	1523.808	166	1.722	0.097	9.847	19.438	True		
98_3	-9.575	10664	424	1084.039	863.034	161	1.720	0.086	9.824	19.399	True		
98_4	-9.656	10990	440	269.390	1010.207	161	1.707	0.093	9.862	19.518	True		
99_1	-9.316	8249	374	784.162	471.967	164	1.716	1.280	9.962	19.278	True		
99_2	-9.446	9675	397	494.932	1094.536	159	1.710	0.598	9.957	19.403	True		
99_3	-9.516	9738	410	362.540	1405.080	161	1.708	0.060	9.986	19.502	True		
