Primary target: NGC 3532
Exposure time: 20 s
Filter: R
Observation date/time: 2021-08-10 23:53:34
JD: 2459437.49553
Decimal date: 2021-08-10.99553
R.A.: 11:05:25.83
Dec.: -58:46:52.42
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637643135777225184-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
108_1	-8.619	5209	270	1078.987	599.224	125	1.864	0.416	10.553	19.172	True		
108_2	-8.459	4581	249	836.664	439.257	125	1.860	0.206	10.718	19.177	True		
108_3	-8.523	5284	256	685.776	1416.288	127	1.854	0.333	10.603	19.126	True		
108_4	-8.532	5234	257	387.687	987.498	128	1.850	0.209	10.653	19.185	True		
109	-8.695	6075	273	1811.919	1944.444	132	1.872	0.822	10.446	19.141	True		
109_1	-8.887	6983	307	1611.256	554.482	125	1.874	1.011	10.354	19.241	True		
109_2	-8.601	5685	263	1402.330	1618.476	131	1.866	0.517	10.588	19.189	True		
109_3	-8.417	4549	242	1259.063	316.323	127	1.868	0.227	10.766	19.183	True		
109_4	-8.396	4610	238	1203.577	1946.336	126	1.861	0.285	10.770	19.166	True		
109_5	-8.310	4409	226	1128.349	1749.553	127	1.861	0.286	10.797	19.107	True		
109_6	-8.828	6375	297	620.356	149.188	129	1.858	0.946	10.430	19.258	True		
109_7	-8.469	4731	247	535.769	943.102	127	1.853	0.284	10.737	19.206	True		
109_8	-8.806	6933	294	504.625	1621.587	126	1.850	0.888	10.434	19.240	True		
109_9	-8.434	4608	244	291.609	1712.131	126	1.846	0.261	10.766	19.200	True		
79	-11.535	57068	1049	1620.714	1240.065	146	1.871	0.607	7.545	19.080	True		
79_1	-11.781	55277	1154	1393.153	1207.417	143	1.867	1.552	7.100	18.881	True		
80	-11.120	52427	867	1738.864	1344.845	136	1.873	0.004	8.032	19.152	True		
80_1	-11.087	51526	857	1371.773	739.457	135	1.869	-0.078	8.066	19.153	True		
81	-10.950	44632	806	1580.166	1354.672	136	1.870	0.025	8.193	19.143	True		
81_1	-10.927	42671	792	1361.972	1296.990	135	1.866	0.020	8.184	19.111	True		
82	-11.611	56091	1074	701.129	829.098	137	1.856	1.512	7.415	19.026	True		
82_1	-10.878	40695	783	531.696	1739.887	134	1.850	-0.012	8.287	19.165	True		
83	-10.846	36506	767	1749.262	300.169	128	1.877	0.027	8.304	19.150	True		
83_1	-10.776	42766	740	1355.757	1061.110	135	1.867	0.004	8.341	19.117	True		
83_2	-10.397	28555	616	1142.478	936.464	137	1.864	0.008	8.316	18.713	True		
83_3	-10.842	45317	763	550.750	1200.478	135	1.853	0.011	8.331	19.173	True		
84	-10.602	35248	688	1007.132	1049.686	137	1.861	-0.072	8.509	19.111	True		
84_1	-10.711	32797	721	917.952	1697.076	134	1.857	-0.003	8.443	19.154	True		
84_2	-10.689	38233	713	889.593	1261.922	139	1.858	0.074	8.425	19.114	True		
84_3	-10.763	40388	742	346.522	1314.856	135	1.849	-0.009	8.404	19.167	True		
85	-10.561	32442	670	922.146	981.067	135	1.860	0.022	8.549	19.110	True		
86	-10.561	31328	676	1230.179	1392.129	133	1.864	-0.011	8.552	19.113	True		
86_1	-10.465	34438	641	665.253	1273.650	130	1.854	0.008	8.676	19.141	True		
88	-10.367	26486	618	1072.745	1539.519	134	1.860	0.065	8.783	19.150	True		
88_1	-10.306	25999	597	885.240	1466.059	135	1.857	0.046	8.810	19.116	True		
88_2	-10.393	25976	622	211.897	591.630	130	1.849	0.035	8.796	19.189	True		
89	-10.255	26717	586	1132.155	1241.638	134	1.863	0.046	8.894	19.149	True		
89_1	-10.132	20911	549	808.907	665.920	135	1.859	-0.016	8.971	19.103	True		
89_2	-10.226	24031	575	800.170	1332.207	132	1.856	0.131	8.900	19.126	True		
89_3	-10.275	25405	588	547.755	279.885	134	1.856	0.004	8.920	19.195	True		
89_4	-10.253	23244	580	145.998	1839.173	140	1.843	-0.008	8.940	19.193	True		
89_5	-10.233	23276	576	86.634	1512.856	129	1.843	-0.077	8.947	19.180	True		
90	-10.183	24000	565	1868.318	765.630	127	1.877	0.033	8.998	19.181	True		
90_1	-10.118	19494	547	1792.201	1407.980	131	1.874	0.104	9.052	19.170	True		
90_2	-10.178	23489	562	1038.082	1525.421	132	1.860	0.115	8.975	19.153	True		
90_3	-10.199	22222	571	589.739	487.494	131	1.856	0.025	8.975	19.174	True		
90_4	-10.204	22005	569	346.681	608.125	132	1.851	0.119	8.983	19.187	True		
91	-9.993	20114	516	1460.257	1116.578	134	1.869	0.036	9.126	19.119	True		
91_1	-9.923	18463	502	1035.721	708.612	130	1.863	0.009	9.194	19.117	True		
91_2	-10.098	19787	539	236.991	1577.034	130	1.846	0.055	9.087	19.185	True		
92_1	-10.220	22329	574	1885.436	1404.302	133	1.875	0.399	8.980	19.200	True		
92_2	-9.809	15313	473	1283.293	1380.279	134	1.865	0.071	9.250	19.059	True		
92_3	-9.899	18541	495	1250.818	1558.138	134	1.864	0.040	9.232	19.131	True		
92_4	-9.854	18625	485	824.112	1140.764	134	1.858	0.068	9.231	19.085	True		
92_5	-10.019	19871	523	542.689	666.277	129	1.854	0.030	9.170	19.189	True		
93	-9.787	15355	471	1319.133	1167.113	133	1.866	0.053	9.296	19.083	True		
94	-9.666	13353	443	1875.928	1314.818	128	1.876	0.024	9.469	19.135	True		
94_1	-9.683	14732	447	1716.807	1615.111	131	1.872	0.031	9.483	19.166	True		
94_2	-9.735	14997	460	1269.526	357.598	129	1.868	0.008	9.429	19.164	True		
94_3	-10.254	23397	582	1255.941	1621.160	134	1.863	1.063	8.920	19.174	True		
94_4	-9.638	14871	438	1031.304	1164.484	136	1.861	0.110	9.413	19.051	True		
94_5	-9.772	15963	466	415.068	515.688	133	1.853	-0.007	9.412	19.184	True		
95	-9.617	14774	435	1684.617	1643.773	130	1.871	0.063	9.558	19.175	True		
95_1	-9.511	13576	408	1460.719	1510.358	134	1.867	0.149	9.502	19.013	True		
95_2	-9.590	12145	428	1314.076	1116.028	133	1.866	0.087	9.498	19.088	True		
95_3	-9.595	13047	431	1175.186	720.147	131	1.865	0.035	9.526	19.121	True		
95_4	-9.652	15522	442	739.139	1608.197	129	1.854	0.022	9.507	19.159	True		
95_5	-9.682	15617	447	309.476	548.676	129	1.851	0.039	9.522	19.204	True		
96	-9.602	14459	430	755.647	1775.755	129	1.854	0.144	9.571	19.173	True		
96_1	-9.453	11716	401	632.642	1350.231	130	1.853	0.097	9.608	19.061	True		
96_2	-9.623	15403	434	535.338	1481.179	128	1.851	0.072	9.583	19.206	True		
96_3	-9.611	12695	430	500.743	1169.652	129	1.852	0.137	9.560	19.171	True		
97	-9.486	7868	407	1844.230	111.502	123	1.880	0.024	9.692	19.178	True		
97_1	-9.419	11355	393	1471.812	1244.228	132	1.869	0.091	9.705	19.124	True		
97_2	-9.453	11239	399	887.085	81.261	128	1.863	0.042	9.721	19.174	True		
97_3	-9.404	12706	388	841.192	1290.854	133	1.857	0.100	9.689	19.093	True		
97_4	-9.457	11468	402	606.290	1000.162	129	1.854	0.175	9.688	19.145	True		
97_5	-9.419	10893	395	592.673	1525.352	127	1.852	0.074	9.730	19.149	True		
97_6	-9.498	12347	409	288.002	1521.620	129	1.847	0.057	9.706	19.204	True		
98	-9.350	10155	380	1648.176	1572.860	129	1.871	0.127	9.819	19.169	True		
98_1	-9.372	10070	385	1511.224	1618.365	131	1.868	0.124	9.780	19.152	True		
98_2	-9.315	10495	377	1330.852	1527.442	130	1.865	0.097	9.821	19.136	True		
98_3	-9.290	9603	372	1087.076	866.797	129	1.863	0.086	9.786	19.076	True		
98_4	-9.436	11681	398	272.377	1014.171	131	1.848	0.093	9.759	19.195	True		
99_1	-9.933	16588	503	787.137	475.694	131	1.859	1.280	9.270	19.203	True		
99_2	-9.595	12800	429	497.836	1098.143	129	1.852	0.598	9.595	19.190	True		
99_3	-9.216	8919	358	365.515	1409.133	129	1.849	0.060	9.937	19.153	True		
