wavelength,flux,error
2.4295,557.21,3.9
2.42963,556.6,3.9
2.42975,556.19,3.9
2.42987,556,3.9
2.43,556.09,3.9
2.43012,556.47,3.9
2.43025,557.12,3.9
2.43037,558,3.9
2.4305,559.11,3.9
2.43062,560.35,3.9
2.43075,561.65,3.9
2.43087,562.95,3.9
2.431,564.19,3.9
2.43112,565.32,3.9
2.43125,566.28,3.9
2.43138,567.06,3.9
2.4315,567.67,3.9
2.43162,568.08,3.9
2.43175,568.32,3.9
2.43187,568.44,3.9
2.432,568.42,3.9
2.43212,568.27,3.9
2.43225,568,3.9
2.43237,567.69,3.9
2.4325,567.32,3.9
2.43262,566.89,3.9
2.43275,566.4,3.9
2.43287,565.84,3.9
2.433,565.17,3.9
2.43313,564.43,3.9
2.43325,563.62,3.9
2.43337,562.78,3.9
2.4335,561.93,3.9
2.43362,561.13,3.9
2.43375,560.49,3.9
2.43387,560.03,3.9
2.434,559.81,3.9
2.43412,559.77,3.9
2.43425,559.93,3.9
2.43438,560.19,3.9
2.4345,560.53,3.9
2.43462,560.86,3.9
2.43475,561.12,3.9
2.43488,561.24,3.9
2.435,561.23,3.9
2.43512,561.06,3.9
2.43525,560.8,3.9
2.43537,560.46,3.9
2.4355,560.09,3.9
2.43562,559.75,3.9
2.43575,559.5,3.9
2.43587,559.39,3.9
2.436,559.44,3.9
2.43613,559.6,3.9
2.43625,559.9,3.9
2.43637,560.27,3.9
2.4365,560.69,3.9
2.43663,561.17,3.9
2.43675,561.65,3.89
2.43687,562.17,3.89
2.437,562.73,3.89
2.43712,563.31,3.89
2.43725,563.97,3.89
2.43737,564.67,3.89
2.4375,565.44,3.89
2.43762,566.26,3.89
2.43775,567.09,3.89
2.43788,567.92,3.89
2.438,568.73,3.89
2.43812,569.48,3.89
2.43825,570.13,3.89
2.43837,570.67,3.89
2.4385,571.07,3.89
2.43862,571.36,3.89
2.43875,571.49,3.89
2.43887,571.54,3.89
2.439,571.48,3.89
2.43912,571.36,3.89
2.43925,571.16,3.89
2.43937,570.95,3.89
2.4395,570.72,3.89
2.43963,570.5,3.89
2.43975,570.28,3.89
2.43987,570.09,3.89
2.44,569.91,3.89
2.44012,569.76,3.89
2.44025,569.61,3.89
2.44037,569.48,3.89
2.4405,569.34,3.88
2.44062,569.21,3.88
2.44075,569.12,3.88
2.44088,569.06,3.88
2.441,569.07,3.88
2.44112,569.14,3.88
2.44125,569.34,3.88
2.44138,569.65,3.88
2.4415,570.06,3.88
2.44162,570.56,3.88
2.44175,571.13,3.88
2.44187,571.75,3.88
2.442,572.37,3.88
2.44212,572.95,3.88
2.44225,573.29,3.88
2.44237,573.5,3.88
2.4425,573.37,3.88
2.44263,572.88,3.88
2.44275,571.98,3.88
2.44287,570.62,3.88
2.443,568.74,3.88
2.44313,566.4,3.88
2.44325,563.68,3.88
2.44337,560.67,3.88
2.4435,557.48,3.88
2.44362,554.3,3.88
2.44375,551.28,3.88
2.44387,548.57,3.88
2.444,546.21,3.88
2.44412,544.42,3.88
2.44425,543.14,3.88
2.44438,542.46,3.88
2.4445,542.39,3.88
2.44462,543.06,3.88
2.44475,544.35,3.88
2.44488,546.32,3.88
2.445,548.83,3.88
2.44512,551.89,3.88
2.44525,555.43,3.88
2.44537,559.22,3.88
2.4455,563.12,3.88
2.44562,566.92,3.88
2.44575,570.52,3.88
2.44587,573.75,3.88
2.446,576.66,3.87
2.44613,579.08,3.87
2.44625,581.12,3.87
2.44637,582.75,3.87
2.4465,584,3.87
2.44662,584.87,3.87
2.44675,585.48,3.87
2.44687,585.81,3.87
2.447,585.9,3.87
2.44712,585.84,3.87
2.44725,585.64,3.87
2.44737,585.38,3.87
2.4475,585.13,3.87
2.44762,584.92,3.87
2.44775,584.79,3.87
2.44788,584.78,3.87
2.448,584.91,3.87
2.44812,585.14,3.87
2.44825,585.49,3.87
2.44837,585.92,3.87
2.4485,586.38,3.87
2.44862,586.83,3.88
2.44875,587.25,3.88
2.44887,587.55,3.88
2.449,587.73,3.88
2.44912,587.77,3.88
2.44925,587.63,3.88
2.44937,587.37,3.88
2.4495,586.99,3.88
2.44963,586.55,3.88
2.44975,586.1,3.88
2.44987,585.67,3.88
2.45,585.29,3.88
2.45012,584.94,3.88
2.45025,584.61,3.88
2.45037,584.26,3.88
2.4505,583.85,3.88
2.45062,583.37,3.88
2.45075,582.79,3.88
2.45088,582.15,3.88
2.451,581.44,3.88
2.45112,580.77,3.88
2.45125,580.13,3.88
2.45138,579.58,3.88
2.4515,579.11,3.88
2.45162,578.74,3.88
2.45175,578.42,3.88
2.45187,578.14,3.88
2.452,577.84,3.88
2.45212,577.45,3.88
2.45225,576.99,3.88
2.45237,576.42,3.88
2.4525,575.81,3.88
2.45263,575.22,3.88
2.45275,574.68,3.88
2.45287,574.27,3.88
2.453,574.04,3.88
2.45312,574.08,3.88
2.45325,574.39,3.88
2.45337,574.95,3.88
2.4535,575.78,3.88
2.45362,576.86,3.88
2.45375,578.13,3.89
2.45387,579.58,3.89
2.454,581.09,3.89
2.45412,582.64,3.89
2.45425,584.15,3.89
2.45438,585.52,3.89
2.4545,586.69,3.89
2.45462,587.64,3.89
2.45475,588.35,3.89
2.45487,588.86,3.89
2.455,589.16,3.89
2.45512,589.38,3.89
2.45525,589.53,3.89
2.45537,589.69,3.89
2.4555,589.92,3.89
2.45563,590.25,3.89
2.45575,590.67,3.89
2.45587,591.19,3.89
2.456,591.8,3.89
2.45613,592.47,3.89
2.45625,593.18,3.89
2.45637,593.91,3.89
2.4565,594.58,3.89
2.45662,595.21,3.89
2.45675,595.74,3.89
2.45687,596.17,3.9
2.457,596.5,3.9
2.45712,596.7,3.9
2.45725,596.84,3.9
2.45738,596.91,3.9
2.4575,596.93,3.9
2.45762,596.97,3.9
2.45775,597.04,3.9
2.45788,597.13,3.9
2.458,597.28,3.9
2.45812,597.48,3.9
2.45825,597.7,3.9
2.45837,597.91,3.9
2.4585,598.16,3.9
2.45862,598.35,3.9
2.45875,598.52,3.9
2.45887,598.64,3.9
2.459,598.69,3.9
2.45913,598.74,3.9
2.45925,598.71,3.9
2.45937,598.66,3.9
2.4595,598.57,3.9
2.45963,598.45,3.91
2.45975,598.34,3.91
2.45987,598.26,3.91
2.46,598.22,3.91
2.46012,598.18,3.91
2.46025,598.18,3.91
2.46037,598.18,3.91
2.4605,598.18,3.91
2.46062,598.14,3.91
