2022 04 17.90248,15 25 28.58,+14 26 46.2,16.5 G,C23 – Olmen,MPS 1589001,
2022 04 17.90623,15 25 28.59,+14 26 47.6,16.4 G,C23 – Olmen,MPS 1589001,
2022 04 17.90922,15 25 28.60,+14 26 48.3,16.4 G,C23 – Olmen,MPS 1589001,
2022 04 18.98095,15 25 34.27,+14 32 17.4,16.3 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 18.99906,15 25 34.23,+14 32 23.0,16.4 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 19.02027,15 25 34.18,+14 32 29.2,16.2 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 19.026216,15 25 34.135,+14 32 32.17,16.6 G,"K74 – Muensterschwarzach Observatory, Schwarzach",MPS 1589001,
2022 04 19.029589,15 25 34.106,+14 32 33.18,16.5 G,"K74 – Muensterschwarzach Observatory, Schwarzach",MPS 1589001,
2022 04 19.032949,15 25 34.111,+14 32 34.04,16.5 G,"K74 – Muensterschwarzach Observatory, Schwarzach",MPS 1589001,
2022 04 19.511772,15 25 35.702,+14 35 05.89,16.48 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 19.539897,15 25 35.458,+14 35 13.60,16.32 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 19.542869,15 25 35.455,+14 35 14.28,16.60 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 19.548472,15 25 35.398,+14 35 15.86,16.51 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 19.98095,15 25 37.42,+14 37 01.2,16.5 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 20.00058,15 25 37.29,+14 37 06.6,16.3 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 20.01978,15 25 37.20,+14 37 12.0,16.2 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 20.441253,15 25 38.210,+14 39 18.43,16.44 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 20.443082,15 25 38.174,+14 39 18.86,16.65 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 20.446091,15 25 38.162,+14 39 19.84,16.46 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 20.457896,15 25 38.018,+14 39 22.97,16.61 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 20.96010,15 25 38.10,+14 41 15.0,16.3 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 20.98119,15 25 37.93,+14 41 20.5,16.3 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 20.99909,15 25 37.78,+14 41 24.7,16.6 G,"L65 – Bredenkamp Observatory, Bremen",MPS 1589001,
2022 04 21.501493,15 25 36.626,+14 43 40.62,16.49 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 21.507814,15 25 36.535,+14 43 42.10,16.32 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 21.511457,15 25 36.492,+14 43 42.96,16.31 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
