"epoch.mjd","a","e","i","om","w","ma","epoch","q","tp","n_obs_used"
56320,4.16,0.1096,4.23,89.79,3.38,359.69,2456320.5,3.704,2456323.13,137
55471,3.536,0.5875,24.20,31.93,21.35,212.31,2455471.5,1.459,2456468.00,617
55057,3.689,0.4233,5.78,14.46,49.82,70.74,2455057.5,2.128,2454548.91,740
58211,3.545,0.5545,18.27,271.06,172.84,263.84,2458211.5,1.579,2458862.74,1843
56994,4.271,0.5183,11.67,176.08,121.11,128.96,2456994.5,2.057,2455839.53,1382
56765,3.481,0.3726,3.61,21.04,173.50,263.79,2456765.5,2.184,2457399.62,3456
57589,4.094,0.2541,8.70,58.87,222.55,100.69,2457589.5,3.054,2456743.15,3610
57639,3.462,0.4281,8.51,151.73,302.34,12.70,2457639.5,1.980,2457556.48,430
55740,4.28,0.2918,5.20,244.09,181.11,247.67,2455740.5,3.031,2456749.61,2032
54349,4.136,0.3365,8.79,4.44,30.01,125.57,2454349.5,2.744,2453277.94,147
53565,4.006,0.3389,17.71,99.65,6.33,38.71,2453565.5,2.649,2453250.54,630
50280,17.68,0.9627,85.38,79.62,13.00,3.77,2450280.5,0.659,2449996.50,294
57284,3.861,0.4493,15.35,46.53,102.92,199.61,2457284.5,2.126,2458518.84,3125
56777,3.316,0.5039,31.53,0.41,183.71,3.33,2456777.5,1.645,2456757.12,2902
55419,3.126,0.5120,9.99,153.19,87.29,195.67,2455419.5,1.525,2456340.88,799
53047,5.628,0.6951,45.84,357.75,356.96,196.89,2453047.5,1.716,2455257.32,379
55168,3.443,0.3623,14.32,13.68,6.54,6.58,2455168.5,2.196,2455125.86,511
56670,4.505,0.3220,4.36,214.34,210.50,247.33,2456670.5,3.054,2457763.64,699
55826,4.333,0.1219,3.57,187.87,308.39,265.52,2455826.5,3.805,2456691.04,612
55810,3.537,0.4068,7.31,89.81,224.38,10.85,2455810.5,2.098,2455737.30,1136
55473,3.68,0.3430,7.36,214.23,179.63,295.66,2455473.5,2.418,2455934.35,739
59486,3.886,0.5647,5.38,174.00,216.35,354.20,2459486.5,1.692,2459531.61,1280
56476,6.229,0.5872,4.35,202.12,18.56,339.56,2456476.5,2.572,2456798.95,1061
50567,3.828,0.2901,6.05,213.36,22.70,234.25,2450567.5,2.717,2451523.10,113
56554,4.2,0.2917,9.42,137.48,225.30,247.18,2456554.5,2.975,2457539.92,462
57353,4.518,0.5721,4.85,233.07,140.99,245.75,2457353.5,1.933,2458466.60,1203
53612,3.628,0.5295,10.08,309.44,95.65,5.86,2453612.5,1.707,2453571.40,100
55516,4.522,0.2475,2.33,242.38,165.73,96.29,2455516.5,3.403,2454576.94,546
51320,6.397,0.6918,3.84,343.46,173.09,0.44,2451320.5,1.972,2451313.31,
58688,3.055,0.7367,13.98,241.88,153.62,265.68,2458688.5,0.804,2459199.44,835
55465,4.973,0.4997,12.31,176.52,175.69,10.55,2455465.5,2.488,2455346.84,88
56535,4.298,0.4087,4.69,245.32,320.79,170.58,2456535.5,2.541,2454993.28,1093
54937,3.866,0.6278,4.11,245.56,216.10,10.26,2454937.5,1.439,2454858.36,3096
57082,4.143,0.5410,11.26,26.84,10.42,253.07,2457082.5,1.902,2457997.33,880
56472,4.036,0.6467,23.09,53.45,317.07,226.70,2456472.5,1.426,2457569.07,173
54801,3.807,0.2760,2.37,93.76,346.84,9.17,2454801.5,2.756,2454732.37,256
56036,3.678,0.5391,3.68,89.79,6.58,199.23,2456036.5,1.696,2457187.31,241
56317,4.327,0.3882,29.75,145.25,43.58,117.31,2456317.5,2.647,2455246.14,471
55098,3.891,0.5457,18.50,272.43,245.67,38.79,2455098.5,1.768,2454796.47,495
55225,5.808,0.5707,4.73,143.56,215.52,213.76,2455225.5,2.493,2457302.28,412
56006,4.5,0.3074,9.87,91.91,163.81,348.51,2456006.5,3.116,2456117.78,930
52402,51.12,0.9901,28.12,93.37,34.67,0.13,2452402.5,0.507,2452352.48,1893
56216,4.883,0.6707,17.83,343.50,48.99,321.42,2456216.5,1.608,2456638.90,2931
55697,6.594,0.7261,6.40,97.28,14.60,179.32,2455697.5,1.806,2452616.57,1963
58934,3.462,0.6149,17.26,35.40,0.38,323.76,2458934.5,1.333,2459171.33,2307
